State,Births,FertilityRate,Deaths,DeathRate
Alabama,57761,60.9,53238,1092.1
Alaska,10086,69.3,4411,596.2
Arizona,80723,58.6,57758,823.2
Arkansas,37018,64.0,32588,1084.7
California,454920,56.2,268189,678.3
Colorado,62885,54.1,38063,678.8
Connecticut,34725,51.8,31312,872.6
Delaware,10621,59.1,9178,954.1
District of Columbia,9212,48.8,4965,715.4
Florida,221542,57.2,203636,970.4
Georgia,126172,58.3,83098,796.8
Hawaii,16972,64.2,11390,797.9
Idaho,21403,63.4,14011,816.0
Illinois,144815,57.5,109721,857.1
Indiana,81646,62.8,65597,983.9
Iowa,37785,63.5,30530,970.5
Kansas,36261,64.7,27063,929.0
Kentucky,53922,63.5,48212,1082.4
Louisiana,59615,64.3,45804,977.8
Maine,12311,53.3,14676,1098.6
Maryland,71080,59.9,49926,824.9
Massachusetts,69109,49.5,58803,857.2
Michigan,110032,58.5,97602,979.7
Minnesota,67344,62.7,44371,795.7
Mississippi,37000,62.8,32280,1081.7
Missouri,73269,62.4,31876,1012.1
Montana,11513,59.6,10200,971.0
Nebraska,25488,68.4,16878,879.0
Nevada,35682,60.0,24657,822.4
New Hampshire,11995,49.1,12504,931.2
New Jersey,101223,60.1,74846,831.1
New Mexico,23039,58.0,18673,894.3
New York,226238,57.9,155358,782.7
North Carolina,118954,58.4,93157,906.8
North Dakota,10636,72.2,6415,849.2
Ohio,135134,61.1,123648,1060.6
Oklahoma,49800,64.6,40452,1029.1
Oregon,42188,51.4,36624,884.0
Pennsylvania,135673,56.9,135656,1059.4
Rhode Island,10506,50.5,10157,958.5
South Carolina,56669,58.1,49441,984.0
South Dakota,11893,73.6,7996,919.4
Tennessee,80751,61.1,70096,1043.7
Texas,378624,63.4,198106,699.9
Utah,47209,68.4,18035,581.4
Vermont,5432,47.2,6007,963.2
Virginia,99843,59.1,68579,809.7
Washington,86085,57.5,56995,769.6
West Virginia,18248,57.2,23276,1281.8
Wisconsin,64098,58.9,52681,909.0
Wyoming,6562,61.0,4768,823.0
Puerto Rico,21424,34.8,30777,922.2
Virgin Islands,—,—,707,659.1
Guam,3165,96.1,990,591.5
American Samoa,—,—,304,590.2
Northern Marianas,566,63.0,232,443.9